agent,time,x,y,z
0,0.0,0.0,0.0,0.0
1,0.0,0.0,19.0,0.0
2,0.0,10.0,10.0,0.0
3,0.0,19.0,0.0,0.0
0,0.2,0.2,0.0,0.0
1,0.2,0.2,19.0,0.0
2,0.2,10.0,10.0,0.2
3,0.2,18.8,0.0,0.0
0,0.4,0.4,0.0,0.0
1,0.4,0.4,19.0,0.0
2,0.4,10.0,10.0,0.4
3,0.4,18.6,0.0,0.0
0,0.6,0.6,0.0,0.0
1,0.6,0.6,19.0,0.0
2,0.6,10.0,10.0,0.6
3,0.6,18.4,0.0,0.0
0,0.8,0.8,0.0,0.0
1,0.8,0.8,19.0,0.0
2,0.8,10.0,10.0,0.8
3,0.8,18.2,0.0,0.0
0,1.0,1.0,0.0,0.0
1,1.0,1.0,19.0,0.0
2,1.0,10.0,10.0,1.0
3,1.0,18.0,0.0,0.0
0,1.2,1.2,0.0,0.0
1,1.2,1.2,19.0,0.0
2,1.2,10.0,10.0,1.2
3,1.2,17.8,0.0,0.0
0,1.4,1.4,0.0,0.0
1,1.4,1.4,19.0,0.0
2,1.4,10.0,10.0,1.4
3,1.4,17.6,0.0,0.0
0,1.6,1.6,0.0,0.0
1,1.6,1.6,19.0,0.0
2,1.6,10.0,10.0,1.6
3,1.6,17.4,0.0,0.0
0,1.8,1.8,0.0,0.0
1,1.8,1.8,19.0,0.0
2,1.8,10.0,10.0,1.8
3,1.8,17.2,0.0,0.0
0,2.0,2.0,0.0,0.0
1,2.0,2.0,19.0,0.0
2,2.0,10.0,10.0,2.0
3,2.0,17.0,0.0,0.0
0,2.2,2.2,0.0,0.0
1,2.2,2.2,19.0,0.0
2,2.2,10.0,10.0,2.2
3,2.2,16.8,0.0,0.0
0,2.4,2.4,0.0,0.0
1,2.4,2.4,19.0,0.0
2,2.4,10.0,10.0,2.4
3,2.4,16.6,0.0,0.0
0,2.6,2.6,0.0,0.0
1,2.6,2.6,19.0,0.0
2,2.6,10.0,10.0,2.6
3,2.6,16.4,0.0,0.0
0,2.8,2.8,0.0,0.0
1,2.8,2.8,19.0,0.0
2,2.8,10.0,10.0,2.8
3,2.8,16.2,0.0,0.0
0,3.0,3.0,0.0,0.0
1,3.0,3.0,19.0,0.0
2,3.0,10.0,10.0,3.0
3,3.0,16.0,0.0,0.0
0,3.2,3.2,0.0,0.0
1,3.2,3.2,19.0,0.0
2,3.2,10.0,10.0,3.2
3,3.2,15.8,0.0,0.0
0,3.4,3.4,0.0,0.0
1,3.4,3.4,19.0,0.0
2,3.4,10.0,10.0,3.4
3,3.4,15.6,0.0,0.0
0,3.6,3.6,0.0,0.0
1,3.6,3.6,19.0,0.0
2,3.6,10.0,10.0,3.6
3,3.6,15.4,0.0,0.0
0,3.8,3.8,0.0,0.0
1,3.8,3.8,19.0,0.0
2,3.8,10.0,10.0,3.8
3,3.8,15.2,0.0,0.0
0,4.0,4.0,0.0,0.0
1,4.0,4.0,19.0,0.0
2,4.0,10.0,10.0,4.0
3,4.0,15.0,0.0,0.0
0,4.2,4.2,0.0,0.0
1,4.2,4.2,19.0,0.0
2,4.2,10.0,10.0,4.2
3,4.2,14.8,0.0,0.0
0,4.4,4.4,0.0,0.0
1,4.4,4.4,19.0,0.0
2,4.4,10.0,10.0,4.4
3,4.4,14.6,0.0,0.0
0,4.6,4.6,0.0,0.0
1,4.6,4.6,19.0,0.0
2,4.6,10.0,10.0,4.6
3,4.6,14.4,0.0,0.0
0,4.8,4.8,0.0,0.0
1,4.8,4.8,19.0,0.0
2,4.8,10.0,10.0,4.8
3,4.8,14.2,0.0,0.0
0,5.0,5.0,0.0,0.0
1,5.0,5.0,19.0,0.0
2,5.0,10.0,10.0,5.0
3,5.0,14.0,0.0,0.0
0,5.2,5.2,0.0,0.0
1,5.2,5.2,19.0,0.0
2,5.2,10.0,10.0,5.2
3,5.2,13.8,0.0,0.0
0,5.4,5.4,0.0,0.0
1,5.4,5.4,19.0,0.0
2,5.4,10.0,10.0,5.4
3,5.4,13.6,0.0,0.0
0,5.6,5.6,0.0,0.0
1,5.6,5.6,19.0,0.0
2,5.6,10.0,10.0,5.6
3,5.6,13.4,0.0,0.0
0,5.8,5.8,0.0,0.0
1,5.8,5.8,19.0,0.0
2,5.8,10.0,10.0,5.8
3,5.8,13.2,0.0,0.0
0,6.0,6.0,0.0,0.0
1,6.0,6.0,19.0,0.0
2,6.0,10.0,10.0,6.0
3,6.0,13.0,0.0,0.0
0,6.2,6.2,0.0,0.0
1,6.2,6.2,19.0,0.0
2,6.2,10.0,10.0,6.2
3,6.2,12.8,0.0,0.0
0,6.4,6.4,0.0,0.0
1,6.4,6.4,19.0,0.0
2,6.4,10.0,10.0,6.4
3,6.4,12.6,0.0,0.0
0,6.6,6.6,0.0,0.0
1,6.6,6.6,19.0,0.0
2,6.6,10.0,10.0,6.6
3,6.6,12.4,0.0,0.0
0,6.8,6.8,0.0,0.0
1,6.8,6.8,19.0,0.0
2,6.8,10.0,10.0,6.8
3,6.8,12.2,0.0,0.0
0,7.0,7.0,0.0,0.0
1,7.0,7.0,19.0,0.0
2,7.0,10.0,10.0,7.0
3,7.0,12.0,0.0,0.0
0,7.2,7.2,0.0,0.0
1,7.2,7.2,19.0,0.0
2,7.2,10.0,10.0,7.2
3,7.2,11.8,0.0,0.0
0,7.4,7.4,0.0,0.0
1,7.4,7.4,19.0,0.0
2,7.4,10.0,10.0,7.4
3,7.4,11.6,0.0,0.0
0,7.6,7.6,0.0,0.0
1,7.6,7.6,19.0,0.0
2,7.6,10.0,10.0,7.6
3,7.6,11.4,0.0,0.0
0,7.8,7.8,0.0,0.0
1,7.8,7.8,19.0,0.0
2,7.8,10.0,10.0,7.8
3,7.8,11.2,0.0,0.0
0,8.0,8.0,0.0,0.0
1,8.0,8.0,19.0,0.0
2,8.0,10.0,10.0,8.0
3,8.0,11.0,0.0,0.0
0,8.2,8.2,0.0,0.0
1,8.2,8.2,19.0,0.0
2,8.2,10.0,10.0,8.2
3,8.2,10.8,0.0,0.0
0,8.4,8.4,0.0,0.0
1,8.4,8.4,19.0,0.0
2,8.4,10.0,10.0,8.4
3,8.4,10.6,0.0,0.0
0,8.6,8.6,0.0,0.0
1,8.6,8.6,19.0,0.0
2,8.6,10.0,10.0,8.6
3,8.6,10.4,0.0,0.0
0,8.8,8.8,0.0,0.0
1,8.8,8.8,19.0,0.0
2,8.8,10.0,10.0,8.8
3,8.8,10.2,0.0,0.0
0,9.0,9.0,0.0,0.0
1,9.0,9.0,19.0,0.0
2,9.0,10.0,10.0,9.0
3,9.0,10.0,0.0,0.0
0,9.2,9.0,0.2,0.0
0,9.2,8.908957249956401,0.22276068751089984,0.0
1,9.2,9.2,19.0,0.0
2,9.2,10.0,10.0,9.2
3,9.2,9.8910427500436,-0.02276068751089983,0.0
0,9.4,9.0,0.4,0.0
0,9.4,8.900384911698646,0.4664100588675688,0.0
1,9.4,9.4,19.0,0.0
2,9.4,10.0,10.0,9.4
3,9.4,9.699615088301353,-0.0664100588675688,0.0
0,9.6,9.0,0.6,0.0
0,9.6,8.933589941132432,0.699615088301353,0.0
1,9.6,9.6,19.0,0.0
2,9.6,10.0,10.0,9.6
3,9.6,9.466410058867568,-0.09961508830135304,0.0
0,9.8,9.0,0.8,0.0
0,9.8,8.9772393124891,0.8910427500435997,0.0
1,9.8,9.8,19.0,0.0
2,9.8,10.0,10.0,9.8
3,9.8,9.222760687510899,-0.09104275004359962,0.0
0,10.0,9.0,1.0,0.0
1,10.0,10.0,19.0,0.0
2,10.0,10.0,10.0,10.0
3,10.0,9.0,0.0,0.0
0,10.2,9.2,1.0,0.0
1,10.2,10.2,19.0,0.0
2,10.2,10.0,10.0,10.2
3,10.2,8.8,0.0,0.0
0,10.4,9.4,1.0,0.0
1,10.4,10.4,19.0,0.0
2,10.4,10.0,10.0,10.4
3,10.4,8.6,0.0,0.0
0,10.6,9.6,1.0,0.0
1,10.6,10.6,19.0,0.0
2,10.6,10.0,10.0,10.6
3,10.6,8.4,0.0,0.0
0,10.8,9.8,1.0,0.0
1,10.8,10.8,19.0,0.0
2,10.8,10.0,10.0,10.8
3,10.8,8.2,0.0,0.0
0,11.0,10.0,1.0,0.0
1,11.0,11.0,19.0,0.0
2,11.0,10.0,10.0,11.0
3,11.0,8.0,0.0,0.0
0,11.2,10.2,1.0,0.0
1,11.2,11.2,19.0,0.0
2,11.2,10.0,10.0,11.2
3,11.2,7.8,0.0,0.0
0,11.4,10.4,1.0,0.0
1,11.4,11.4,19.0,0.0
2,11.4,10.0,10.0,11.4
3,11.4,7.6,0.0,0.0
0,11.6,10.6,1.0,0.0
1,11.6,11.6,19.0,0.0
2,11.6,10.0,10.0,11.6
3,11.6,7.4,0.0,0.0
0,11.8,10.8,1.0,0.0
1,11.8,11.8,19.0,0.0
2,11.8,10.0,10.0,11.8
3,11.8,7.2,0.0,0.0
0,12.0,11.0,1.0,0.0
1,12.0,12.0,19.0,0.0
2,12.0,10.0,10.0,12.0
3,12.0,7.0,0.0,0.0
0,12.2,11.2,1.0,0.0
1,12.2,12.2,19.0,0.0
2,12.2,10.0,10.0,12.2
3,12.2,6.8,0.0,0.0
0,12.4,11.4,1.0,0.0
1,12.4,12.4,19.0,0.0
2,12.4,10.0,10.0,12.4
3,12.4,6.6,0.0,0.0
0,12.6,11.6,1.0,0.0
1,12.6,12.6,19.0,0.0
2,12.6,10.0,10.0,12.6
3,12.6,6.4,0.0,0.0
0,12.8,11.8,1.0,0.0
1,12.8,12.8,19.0,0.0
2,12.8,10.0,10.0,12.8
3,12.8,6.2,0.0,0.0
0,13.0,12.0,1.0,0.0
1,13.0,13.0,19.0,0.0
2,13.0,10.0,10.0,13.0
3,13.0,6.0,0.0,0.0
0,13.2,12.2,1.0,0.0
1,13.2,13.2,19.0,0.0
2,13.2,10.0,10.0,13.2
3,13.2,5.8,0.0,0.0
0,13.4,12.4,1.0,0.0
1,13.4,13.4,19.0,0.0
2,13.4,10.0,10.0,13.4
3,13.4,5.6,0.0,0.0
0,13.6,12.6,1.0,0.0
1,13.6,13.6,19.0,0.0
2,13.6,10.0,10.0,13.6
3,13.6,5.4,0.0,0.0
0,13.8,12.8,1.0,0.0
1,13.8,13.8,19.0,0.0
2,13.8,10.0,10.0,13.8
3,13.8,5.2,0.0,0.0
0,14.0,13.0,1.0,0.0
1,14.0,14.0,19.0,0.0
2,14.0,10.0,10.0,14.0
3,14.0,5.0,0.0,0.0
0,14.2,13.2,1.0,0.0
1,14.2,14.2,19.0,0.0
2,14.2,10.0,10.0,14.2
3,14.2,4.8,0.0,0.0
0,14.4,13.4,1.0,0.0
1,14.4,14.4,19.0,0.0
2,14.4,10.0,10.0,14.4
3,14.4,4.6,0.0,0.0
0,14.6,13.6,1.0,0.0
1,14.6,14.6,19.0,0.0
2,14.6,10.0,10.0,14.6
3,14.6,4.4,0.0,0.0
0,14.8,13.8,1.0,0.0
1,14.8,14.8,19.0,0.0
2,14.8,10.0,10.0,14.8
3,14.8,4.2,0.0,0.0
0,15.0,14.0,1.0,0.0
1,15.0,15.0,19.0,0.0
2,15.0,10.0,10.0,15.0
3,15.0,4.0,0.0,0.0
0,15.2,14.2,1.0,0.0
1,15.2,15.2,19.0,0.0
2,15.2,10.0,10.0,15.2
3,15.2,3.8,0.0,0.0
0,15.4,14.4,1.0,0.0
1,15.4,15.4,19.0,0.0
2,15.4,10.0,10.0,15.4
3,15.4,3.6,0.0,0.0
0,15.6,14.6,1.0,0.0
1,15.6,15.6,19.0,0.0
2,15.6,10.0,10.0,15.6
3,15.6,3.4,0.0,0.0
0,15.8,14.8,1.0,0.0
1,15.8,15.8,19.0,0.0
2,15.8,10.0,10.0,15.8
3,15.8,3.2,0.0,0.0
0,16.0,15.0,1.0,0.0
1,16.0,16.0,19.0,0.0
2,16.0,10.0,10.0,16.0
3,16.0,3.0,0.0,0.0
0,16.2,15.2,1.0,0.0
1,16.2,16.2,19.0,0.0
2,16.2,10.0,10.0,16.2
3,16.2,2.8,0.0,0.0
0,16.4,15.4,1.0,0.0
1,16.4,16.4,19.0,0.0
2,16.4,10.0,10.0,16.4
3,16.4,2.6,0.0,0.0
0,16.6,15.6,1.0,0.0
1,16.6,16.6,19.0,0.0
2,16.6,10.0,10.0,16.6
3,16.6,2.4,0.0,0.0
0,16.8,15.8,1.0,0.0
1,16.8,16.8,19.0,0.0
2,16.8,10.0,10.0,16.8
3,16.8,2.2,0.0,0.0
0,17.0,16.0,1.0,0.0
1,17.0,17.0,19.0,0.0
2,17.0,10.0,10.0,17.0
3,17.0,2.0,0.0,0.0
0,17.2,16.2,1.0,0.0
1,17.2,17.2,19.0,0.0
2,17.2,10.0,10.0,17.2
3,17.2,1.8,0.0,0.0
0,17.4,16.4,1.0,0.0
1,17.4,17.4,19.0,0.0
2,17.4,10.0,10.0,17.4
3,17.4,1.6,0.0,0.0
0,17.6,16.6,1.0,0.0
1,17.6,17.6,19.0,0.0
2,17.6,10.0,10.0,17.6
3,17.6,1.4,0.0,0.0
0,17.8,16.8,1.0,0.0
1,17.8,17.8,19.0,0.0
2,17.8,10.0,10.0,17.8
3,17.8,1.2,0.0,0.0
0,18.0,17.0,1.0,0.0
1,18.0,18.0,19.0,0.0
2,18.0,10.0,10.0,18.0
3,18.0,1.0,0.0,0.0
0,18.2,17.2,1.0,0.0
1,18.2,18.2,19.0,0.0
2,18.2,10.0,10.0,18.2
3,18.2,0.8,0.0,0.0
0,18.4,17.4,1.0,0.0
1,18.4,18.4,19.0,0.0
2,18.4,10.0,10.0,18.4
3,18.4,0.6,0.0,0.0
0,18.6,17.6,1.0,0.0
1,18.6,18.6,19.0,0.0
2,18.6,10.0,10.0,18.6
3,18.6,0.4,0.0,0.0
0,18.8,17.8,1.0,0.0
1,18.8,18.8,19.0,0.0
2,18.8,10.0,10.0,18.8
3,18.8,0.1999999999999999,0.0,0.0
0,19.0,18.0,1.0,0.0
1,19.0,19.0,19.0,0.0
2,19.0,10.0,10.0,19.0
3,19.0,0.0,0.0,0.0
0,19.2,18.2,1.0,0.0
1,19.2,19.0,18.8,0.0
2,19.2,10.0,10.0,19.0
3,19.2,0.0,0.0,0.2
0,19.4,18.4,1.0,0.0
1,19.4,19.0,18.6,0.0
2,19.4,10.0,10.0,19.0
3,19.4,0.0,0.0,0.4
0,19.6,18.6,1.0,0.0
1,19.6,19.0,18.4,0.0
2,19.6,10.0,10.0,19.0
3,19.6,0.0,0.0,0.6
0,19.8,18.8,1.0,0.0
1,19.8,19.0,18.2,0.0
2,19.8,10.0,10.0,19.0
3,19.8,0.0,0.0,0.8
0,20.0,19.0,1.0,0.0
1,20.0,19.0,18.0,0.0
2,20.0,10.0,10.0,19.0
3,20.0,0.0,0.0,1.0
0,20.2,19.0,1.2,0.0
1,20.2,19.0,17.8,0.0
2,20.2,10.0,10.0,19.0
3,20.2,0.0,0.0,1.2
0,20.4,19.0,1.4,0.0
1,20.4,19.0,17.6,0.0
2,20.4,10.0,10.0,19.0
3,20.4,0.0,0.0,1.4
0,20.6,19.0,1.6,0.0
1,20.6,19.0,17.4,0.0
2,20.6,10.0,10.0,19.0
3,20.6,0.0,0.0,1.6
0,20.8,19.0,1.8,0.0
1,20.8,19.0,17.2,0.0
2,20.8,10.0,10.0,19.0
3,20.8,0.0,0.0,1.8
0,21.0,19.0,2.0,0.0
1,21.0,19.0,17.0,0.0
2,21.0,10.0,10.0,19.0
3,21.0,0.0,0.0,2.0
0,21.2,19.0,2.2,0.0
1,21.2,19.0,16.8,0.0
2,21.2,10.0,10.0,19.0
3,21.2,0.0,0.0,2.2
0,21.4,19.0,2.4,0.0
1,21.4,19.0,16.6,0.0
2,21.4,10.0,10.0,19.0
3,21.4,0.0,0.0,2.4
0,21.6,19.0,2.6,0.0
1,21.6,19.0,16.4,0.0
2,21.6,10.0,10.0,19.0
3,21.6,0.0,0.0,2.6
0,21.8,19.0,2.8,0.0
1,21.8,19.0,16.2,0.0
2,21.8,10.0,10.0,19.0
3,21.8,0.0,0.0,2.8
0,22.0,19.0,3.0,0.0
1,22.0,19.0,16.0,0.0
2,22.0,10.0,10.0,19.0
3,22.0,0.0,0.0,3.0
0,22.2,19.0,3.2,0.0
1,22.2,19.0,15.8,0.0
2,22.2,10.0,10.0,19.0
3,22.2,0.0,0.0,3.2
0,22.4,19.0,3.4,0.0
1,22.4,19.0,15.6,0.0
2,22.4,10.0,10.0,19.0
3,22.4,0.0,0.0,3.4
0,22.6,19.0,3.6,0.0
1,22.6,19.0,15.4,0.0
2,22.6,10.0,10.0,19.0
3,22.6,0.0,0.0,3.6
0,22.8,19.0,3.8,0.0
1,22.8,19.0,15.2,0.0
2,22.8,10.0,10.0,19.0
3,22.8,0.0,0.0,3.8
0,23.0,19.0,4.0,0.0
1,23.0,19.0,15.0,0.0
2,23.0,10.0,10.0,19.0
3,23.0,0.0,0.0,4.0
0,23.2,19.0,4.2,0.0
1,23.2,19.0,14.8,0.0
2,23.2,10.0,10.0,19.0
3,23.2,0.0,0.0,4.2
0,23.4,19.0,4.4,0.0
1,23.4,19.0,14.6,0.0
2,23.4,10.0,10.0,19.0
3,23.4,0.0,0.0,4.4
0,23.6,19.0,4.6,0.0
1,23.6,19.0,14.4,0.0
2,23.6,10.0,10.0,19.0
3,23.6,0.0,0.0,4.6
0,23.8,19.0,4.8,0.0
1,23.8,19.0,14.2,0.0
2,23.8,10.0,10.0,19.0
3,23.8,0.0,0.0,4.8
0,24.0,19.0,5.0,0.0
1,24.0,19.0,14.0,0.0
2,24.0,10.0,10.0,19.0
3,24.0,0.0,0.0,5.0
0,24.2,19.0,5.2,0.0
1,24.2,19.0,13.8,0.0
2,24.2,10.0,10.0,19.0
3,24.2,0.0,0.0,5.2
0,24.4,19.0,5.4,0.0
1,24.4,19.0,13.6,0.0
2,24.4,10.0,10.0,19.0
3,24.4,0.0,0.0,5.4
0,24.6,19.0,5.6,0.0
1,24.6,19.0,13.4,0.0
2,24.6,10.0,10.0,19.0
3,24.6,0.0,0.0,5.6
0,24.8,19.0,5.8,0.0
1,24.8,19.0,13.2,0.0
2,24.8,10.0,10.0,19.0
3,24.8,0.0,0.0,5.8
0,25.0,19.0,6.0,0.0
1,25.0,19.0,13.0,0.0
2,25.0,10.0,10.0,19.0
3,25.0,0.0,0.0,6.0
0,25.2,19.0,6.2,0.0
1,25.2,19.0,12.8,0.0
2,25.2,10.0,10.0,19.0
3,25.2,0.0,0.0,6.2
0,25.4,19.0,6.4,0.0
1,25.4,19.0,12.6,0.0
2,25.4,10.0,10.0,19.0
3,25.4,0.0,0.0,6.4
0,25.6,19.0,6.6,0.0
1,25.6,19.0,12.4,0.0
2,25.6,10.0,10.0,19.0
3,25.6,0.0,0.0,6.6
0,25.8,19.0,6.8,0.0
1,25.8,19.0,12.2,0.0
2,25.8,10.0,10.0,19.0
3,25.8,0.0,0.0,6.8
0,26.0,19.0,7.0,0.0
1,26.0,19.0,12.0,0.0
2,26.0,10.0,10.0,19.0
3,26.0,0.0,0.0,7.0
0,26.2,19.0,7.2,0.0
1,26.2,19.0,11.8,0.0
2,26.2,10.0,10.0,19.0
3,26.2,0.0,0.0,7.2
0,26.4,19.0,7.4,0.0
1,26.4,19.0,11.6,0.0
2,26.4,10.0,10.0,19.0
3,26.4,0.0,0.0,7.4
0,26.6,19.0,7.6,0.0
1,26.6,19.0,11.4,0.0
2,26.6,10.0,10.0,19.0
3,26.6,0.0,0.0,7.6
0,26.8,19.0,7.8,0.0
1,26.8,19.0,11.2,0.0
2,26.8,10.0,10.0,19.0
3,26.8,0.0,0.0,7.8
0,27.0,19.0,8.0,0.0
1,27.0,19.0,11.0,0.0
2,27.0,10.0,10.0,19.0
3,27.0,0.0,0.0,8.0
0,27.2,19.0,8.2,0.0
1,27.2,19.0,10.8,0.0
2,27.2,10.0,10.0,19.0
3,27.2,0.0,0.0,8.2
0,27.4,19.0,8.4,0.0
1,27.4,19.0,10.6,0.0
2,27.4,10.0,10.0,19.0
3,27.4,0.0,0.0,8.4
0,27.6,19.0,8.6,0.0
1,27.6,19.0,10.4,0.0
2,27.6,10.0,10.0,19.0
3,27.6,0.0,0.0,8.6
0,27.8,19.0,8.8,0.0
1,27.8,19.0,10.2,0.0
2,27.8,10.0,10.0,19.0
3,27.8,0.0,0.0,8.8
0,28.0,19.0,9.0,0.0
1,28.0,19.0,10.0,0.0
2,28.0,10.0,10.0,19.0
3,28.0,0.0,0.0,9.0
0,28.2,19.0,8.908957249956401,0.22276068751089984
1,28.2,19.0,9.8910427500436,-0.02276068751089983
2,28.2,10.0,10.0,19.0
3,28.2,0.0,0.0,9.2
0,28.4,19.0,8.900384911698646,0.4664100588675688
1,28.4,19.0,9.699615088301353,-0.0664100588675688
2,28.4,10.0,10.0,19.0
3,28.4,0.0,0.0,9.4
0,28.6,19.0,8.933589941132432,0.699615088301353
1,28.6,19.0,9.466410058867568,-0.09961508830135304
